# COBE DMR BEAM FUNCTION
# For ell in [0,128]
# Converted to ASCII from cobe_dmr_beam.fits
#
# Column headers:
#  l        b(l)
   0     0.00000000
   1     1.00000000
   2     0.99513602
   3     0.98554897
   4     0.97148401
   5     0.95325398
   6     0.93122500
   7     0.90580398
   8     0.87743098
   9     0.84656203
  10     0.81366199
  11     0.77918702
  12     0.74357402
  13     0.70723599
  14     0.67055798
  15     0.63388902
  16     0.59754097
  17     0.56178802
  18     0.52686298
  19     0.49296501
  20     0.46025601
  21     0.42886299
  22     0.39888299
  23     0.37038401
  24     0.34340799
  25     0.31797600
  26     0.29408699
  27     0.27172300
  28     0.25085199
  29     0.23143101
  30     0.21341100
  31     0.19673200
  32     0.18132800
  33     0.16713101
  34     0.15407000
  35     0.14207500
  36     0.13107300
  37     0.12099500
  38     0.11177000
  39     0.10332900
  40     0.09561000
  41     0.08855200
  42     0.08209600
  43     0.07618600
  44     0.07076800
  45     0.06579200
  46     0.06121400
  47     0.05699200
  48     0.05308700
  49     0.04946300
  50     0.04608600
  51     0.04292500
  52     0.03995500
  53     0.03715200
  54     0.03449900
  55     0.03197700
  56     0.02957000
  57     0.02726400
  58     0.02504700
  59     0.02291300
  60     0.02085700
  61     0.01887800
  62     0.01697800
  63     0.01515800
  64     0.01342100
  65     0.01176900
  66     0.01020700
  67     0.00873900
  68     0.00737300
  69     0.00611600
  70     0.00497500
  71     0.00395500
  72     0.00305900
  73     0.00228500
  74     0.00162700
  75     0.00107800
  76     0.00062500
  77     0.00025600
  78    -0.00004300
  79    -0.00028300
  80    -0.00047700
  81    -0.00063300
  82    -0.00076000
  83    -0.00086300
  84    -0.00094800
  85    -0.00101700
  86    -0.00107500
  87    -0.00112400
  88    -0.00116400
  89    -0.00119900
  90    -0.00122800
  91    -0.00125400
  92    -0.00127700
  93    -0.00129700
  94    -0.00131600
  95    -0.00133300
  96    -0.00134900
  97    -0.00136400
  98    -0.00137800
  99    -0.00139100
 100    -0.00140300
 101     0.00000000
 102     0.00000000
 103     0.00000000
 104     0.00000000
 105     0.00000000
 106     0.00000000
 107     0.00000000
 108     0.00000000
 109     0.00000000
 110     0.00000000
 111     0.00000000
 112     0.00000000
 113     0.00000000
 114     0.00000000
 115     0.00000000
 116     0.00000000
 117     0.00000000
 118     0.00000000
 119     0.00000000
 120     0.00000000
 121     0.00000000
 122     0.00000000
 123     0.00000000
 124     0.00000000
 125     0.00000000
 126     0.00000000
 127     0.00000000
 128     0.00000000
