# HEALPIX NSIDE=16 PIXEL WINDOW FUNCTION
# For l in [0,64]
# Converted from pixel_window_n0016.fits
# 
# Column headers:
#  l        p(l) 
   0     1.00000000
   1     0.99963641
   2     0.99890955
   3     0.99782009
   4     0.99636900
   5     0.99455759
   6     0.99238750
   7     0.98986068
   8     0.98697940
   9     0.98374624
  10     0.98016412
  11     0.97623622
  12     0.97196608
  13     0.96735748
  14     0.96241454
  15     0.95714165
  16     0.95154346
  17     0.94562494
  18     0.93939129
  19     0.93284799
  20     0.92600076
  21     0.91885558
  22     0.91141867
  23     0.90369646
  24     0.89569562
  25     0.88742302
  26     0.87888574
  27     0.87009105
  28     0.86104642
  29     0.85175947
  30     0.84223800
  31     0.83248997
  32     0.82252348
  33     0.81234677
  34     0.80196819
  35     0.79139622
  36     0.78063945
  37     0.76970656
  38     0.75860632
  39     0.74734756
  40     0.73593919
  41     0.72439019
  42     0.71270955
  43     0.70090632
  44     0.68898959
  45     0.67696845
  46     0.66485199
  47     0.65264934
  48     0.64036957
  49     0.62802179
  50     0.61561504
  51     0.60315837
  52     0.59066075
  53     0.57813114
  54     0.56557843
  55     0.55301148
  56     0.54043905
  57     0.52786987
  58     0.51531258
  59     0.50277576
  60     0.49026789
  61     0.47779741
  62     0.46537264
  63     0.45300185
  64     0.44069322
